time_s,phase,leg_length_mm,chassis_y_m,chassis_z_m,vertical_velocity_m_s,pitch_deg,ground_wheel_contacts,step_wheel_contacts,both_wheels_on_step_top,max_hip_torque_nm,max_wheel_torque_nm
1.5249999999999428,APPROACH,89.39313109101643,-0.07290210856778585,0.08050325284435805,4.235780592934356e-05,1.5533444212739616,4,0,False,0.3120717795267278,0.008115349690723767
1.5259999999999427,APPROACH,89.39312973696647,-0.07291588022445603,0.0805032952433345,4.2398976439636554e-05,1.551698063951099,4,0,False,0.3120723235027432,0.008123225305942838
1.5269999999999426,APPROACH,89.39312837973532,-0.07292984396645948,0.08050333768267232,4.243933782231434e-05,1.5500482967064528,4,0,False,0.31207286623037556,0.008131070411883668
1.5279999999999425,APPROACH,89.39312701933797,-0.07294399957890736,0.08050338016156768,4.247889536484707e-05,1.5483951399181164,4,0,False,0.31207340772541986,0.008138885055732011
1.5289999999999424,APPROACH,89.39312565578932,-0.07295834684659981,0.08050342267922199,4.251765431154965e-05,1.5467386138251238,4,0,False,0.3120739480036437,0.008146669284349583
1.5299999999999423,APPROACH,89.39312428910422,-0.07297288555402744,0.08050346523484185,4.255561986522137e-05,1.545078738528764,4,0,False,0.3120744870804358,0.008154423144294697
1.5309999999999422,APPROACH,89.39312291929747,-0.07298761548537284,0.08050350782763904,4.259279718540538e-05,1.5434155339938869,4,0,False,0.31207502497127154,0.008162146681797062
1.531999999999942,APPROACH,89.3931215463837,-0.07300253642451217,0.08050355045683043,4.262919139174699e-05,1.541749020050185,4,0,False,0.3120755616913393,0.008169839942804858
1.532999999999942,APPROACH,89.3931201703774,-0.07301764815501653,0.08050359312163799,4.266480756366799e-05,1.5400792163934824,4,0,False,0.3120760972557259,0.008177502972948758
1.5339999999999419,APPROACH,89.39311879129309,-0.07303295046015353,0.08050363582128874,4.269965074059656e-05,1.5384061425869908,4,0,False,0.3120766316793018,0.008185135817564596
1.5349999999999417,APPROACH,89.39311740914516,-0.07304844312288873,0.08050367855501465,4.2733725921738226e-05,1.5367298180625666,4,0,False,0.31207716497681726,0.008192738521684659
1.5359999999999416,APPROACH,89.39311602394793,-0.07306412592588717,0.08050372132205272,4.27670380666621e-05,1.5350502621219462,4,0,False,0.3120776971628714,0.008200311130051574
1.5369999999999415,APPROACH,89.39311463571549,-0.07307999865151474,0.08050376412164481,4.2799592095212616e-05,1.5333674939379787,4,0,False,0.31207822825178816,0.008207853687112646
1.5379999999999414,APPROACH,89.39311324446209,-0.07309606108183972,0.0805038069530377,4.283139288723763e-05,1.531681532555839,4,0,False,0.31207875825804066,0.008215366237026544
1.5389999999999413,APPROACH,89.39311185020162,-0.07311231299863422,0.08050384981548299,4.2862445286155574e-05,1.5299923968942322,4,0,False,0.3120792871956741,0.008222848823687757
1.5399999999999412,APPROACH,89.39311045294818,-0.07312875418337558,0.08050389270823709,4.289275409638002e-05,1.5283001057465895,4,0,False,0.31207981507863447,0.008230301490686131
1.540999999999941,APPROACH,89.39310905271554,-0.07314538441724788,0.08050393563056117,4.292232408290428e-05,1.5266046777822446,4,0,False,0.31208034192082335,0.008237724281335299
1.541999999999941,APPROACH,89.39310764951748,-0.07316220348114329,0.08050397858172115,4.295115997404386e-05,1.524906131547604,4,0,False,0.31208086773597427,0.008245117238690437
1.5429999999999409,APPROACH,89.39310624336763,-0.07317921115566355,0.08050402156098761,4.297926646197148e-05,1.5232044854673081,4,0,False,0.312081392537638,0.008252480405530617
1.5439999999999408,APPROACH,89.39310483427968,-0.07319640722112136,0.08050406456763581,4.300664820145265e-05,1.5214997578453757,4,0,False,0.3120819163392178,0.008259813824358886
1.5449999999999406,APPROACH,89.39310342226712,-0.07321379145754182,0.08050410760094562,4.30333098109848e-05,1.5197919668663395,4,0,False,0.3120824391540489,0.008267117537419986
1.5459999999999405,APPROACH,89.39310200734344,-0.0732313636446638,0.08050415066020149,4.305925587290193e-05,1.5180811305963715,4,0,False,0.3120829609951529,0.008274391586691975
1.5469999999999404,APPROACH,89.3931005895219,-0.07324912356194135,0.08050419374469242,4.3084490932363145e-05,1.5163672669843942,4,0,False,0.3120834818756864,0.008281636013886715
1.5479999999999403,APPROACH,89.39309916881587,-0.07326707098854511,0.08050423685371193,4.3109019500537487e-05,1.5146503938631846,4,0,False,0.31208400180842494,0.008288850860481173
1.5489999999999402,APPROACH,89.39309774523846,-0.07328520570336367,0.08050427998655799,4.313284605260936e-05,1.5129305289504678,4,0,False,0.3120845208061223,0.008296036167674666
1.54999999999994,APPROACH,89.39309631880289,-0.07330352748500495,0.08050432314253302,4.3155975028663225e-05,1.5112076898499958,4,0,False,0.3120850388814607,0.008303191976429734
1.55099999999994,APPROACH,89.39309488952219,-0.07332203611179758,0.08050436632094385,4.317841083541489e-05,1.5094818940526187,4,0,False,0.31208555604681204,0.008310318327463631
1.5519999999999399,APPROACH,89.39309345740924,-0.07334073136179228,0.08050440952110169,4.320015784460599e-05,1.5077531589373463,4,0,False,0.3120860723145925,0.008317415261235856
1.5529999999999398,APPROACH,89.39309202247696,-0.0733596130127632,0.08050445274232208,4.322122039382475e-05,1.5060215017723961,4,0,False,0.31208658769689823,0.00832448281797204
1.5539999999999397,APPROACH,89.39309058473816,-0.07337868084220926,0.08050449598392487,4.3241602786105286e-05,1.504286939716234,4,0,False,0.312087102206035,0.008331521037650905
