mode,mass_kg,ballistic_height_m,time_s,l0_m,body_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,required_joint_torque_nm,available_joint_torque_nm,torque_utilization,total_mechanical_power_w
push,2.0,0.05,0.0,0.07,0.0,0.0,0.0,0.5124071162031776,6.0,0.08540118603386293,0.0
push,2.0,0.05,0.00020196199771025517,0.07000020000000001,0.001980570624845274,0.03790478651953555,0.3619640484856273,0.512409241722776,6.0,0.08540154028712933,0.07769105167255563
push,2.0,0.05,0.00040392399542051033,0.0700008,0.003961141249690548,0.0758086296718301,0.7239190884776813,0.5124156181748333,6.0,0.08540260302913888,0.15538210334511127
push,2.0,0.05,0.0006058859931307655,0.0700018,0.005941711874535822,0.11371058624685443,1.0858561129838504,0.5124262452391377,6.0,0.08540437420652296,0.2330731550176669
push,2.0,0.05,0.0008078479908410207,0.0700032,0.007922282499381096,0.15160971334895668,1.447766118013906,0.51244112238202,6.0,0.08540685373033667,0.31076420669022253
push,2.0,0.05,0.0010098099885512757,0.07000500000000001,0.00990285312422637,0.18950506855393454,1.8096401040796306,0.5124602488563796,6.0,0.08541004147606328,0.38845525836277817
push,2.0,0.05,0.001211771986261531,0.0700072,0.011883423749071644,0.22739571006596968,2.1714690776934322,0.5124836237017184,6.0,0.08541393728361973,0.4661463100353338
push,2.0,0.05,0.0014137339839717861,0.07000980000000001,0.013863994373916918,0.2652806968743749,2.5332440528651685,0.5125112457441887,6.0,0.08541854095736479,0.5438373617078894
push,2.0,0.05,0.0016156959816820413,0.0700128,0.015844564998762193,0.30315908891011106,2.8949560525967737,0.5125431135966478,6.0,0.08542385226610798,0.6215284133804451
push,2.0,0.05,0.0018176579793922965,0.0700162,0.017825135623607467,0.34102994720202656,3.2565961103742365,0.5125792256587238,6.0,0.08542987094312064,0.6992194650530007
push,2.0,0.05,0.0020196199771025515,0.07002000000000001,0.01980570624845274,0.37889233403277267,3.61815527165648,0.512619580116892,6.0,0.08543659668614867,0.7769105167255563
