l0_mm,group_a,entity_a,group_b,entity_b,adjacent,bbox_lower_bound_mm,distance_mm,common_volume_mm3,reference_common_volume_mm3,excess_common_volume_mm3
70.0,fixed,电池支撑铜柱003,edulite_right_positive,00_1-13413_1_1,False,0.6864537348087367,3.486453734808741,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱003,edulite_right_positive,1000_1-541385_1_1,False,0.0,0.0,6.126306643689567,0.0,6.126296643689567
70.0,fixed,主控支撑铜柱001,edulite_right_positive,00_1-13413_1_1,False,0.6928455752608329,2.771242868161071,0.0,0.0,0.0
70.0,fixed,主控支撑铜柱001,edulite_right_positive,1000_1-541385_1_1,False,0.0,0.0,77.11140053062246,0.0,77.11139053062246
70.0,fixed,主控支架,edulite_right_positive,1000_1-541385_1_1,False,1.1906898341671663,3.000000003997656,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_right_positive,00_1-13413_1_1,False,0.0,0.0,11.494973914262113,0.0,11.494963914262113
70.0,fixed,NanoPi支架,edulite_right_positive,1000_1-541385_1_1,False,0.0,0.0,70.48512316358409,0.0,70.48511316358409
70.0,fixed,NanoPi支架,edulite_right_positive,PRT0001_1,False,1.0100031135772092,1.0100031999999821,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_right_positive,LUOSI_1_003,False,0.0,0.0,7.774975756513993,0.0,7.774965756513994
70.0,fixed,电池支撑铜柱006,edulite_right_positive,00_1-13413_1_1,False,0.7765634194177338,3.169608581947039,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱006,edulite_right_positive,1000_1-541385_1_1,False,0.0,0.0,17.128316953203985,0.0,17.128306953203985
70.0,edulite_left_negative,00_1-1305_1_1,left_proximal_negative,大腿,True,0.0,5.684341886080802e-14,0.0,0.0,0.0
70.0,edulite_left_negative,100_1_1_1,left_proximal_negative,大腿,True,1.499999999999858,1.499999999999858,0.0,0.0,0.0
70.0,edulite_left_negative,000_1-4238_1_1,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_1,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_001,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_002,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,200_1_1_1,left_proximal_negative,大腿,True,0.9999999999998579,3.1622776560914416,0.0,0.0,0.0
