mass_kg,l0_m,axial_force_per_leg_n,joint_torque_required_nm,stall_continuous_margin
2.0,0.07,9.80665,0.25620355810158874,4.293461059443339
2.0,0.07010000000000001,9.80665,0.2567338292340041,4.284593126203823
2.0,0.07020000000000001,9.80665,0.25726188189637095,4.275798621589408
2.0,0.0703,9.80665,0.2577877213284949,4.267076780582141
2.0,0.0704,9.80665,0.25831135273310396,4.258426849463938
2.0,0.07050000000000001,9.80665,0.2588327812763796,4.249848085607939
2.0,0.07060000000000001,9.80665,0.2593520120884779,4.241339757274508
2.0,0.07070000000000001,9.80665,0.2598690502640389,4.232901143411843
2.0,0.0708,9.80665,0.26038390086268504,4.2245315334610165
2.0,0.0709,9.80665,0.26089656890950846,4.216230227165361
2.0,0.07100000000000001,9.80665,0.2614070593955487,4.207996534384072
2.0,0.07110000000000001,9.80665,0.26191537727825903,4.19982977490993
2.0,0.07120000000000001,9.80665,0.2624215274819647,4.191729278291009
2.0,0.0713,9.80665,0.2629255148983092,4.183694383656312
2.0,0.0714,9.80665,0.26342734438669246,4.175724439545194
2.0,0.07150000000000001,9.80665,0.2639270207747005,4.167818803740476
2.0,0.07160000000000001,9.80665,0.2644245488585225,4.159976843105226
2.0,0.0717,9.80665,0.2649199334033641,4.152197933422973
2.0,0.0718,9.80665,0.26541317914384893,4.144481459241407
2.0,0.0719,9.80665,0.26590429078441097,4.1368268137194315
2.0,0.07200000000000001,9.80665,0.2663932729996815,4.129233398477428
2.0,0.07210000000000001,9.80665,0.26688013043486586,4.121700623450735
2.0,0.0722,9.80665,0.2673648677061134,4.114227906746209
2.0,0.0723,9.80665,0.2678474894008791,4.106814674501817
2.0,0.0724,9.80665,0.2683280000782783,4.099460360749163
2.0,0.07250000000000001,9.80665,0.26880640426943375,4.092164407278902
2.0,0.07260000000000001,9.80665,0.2692827064778152,4.084926263508954
2.0,0.0727,9.80665,0.2697569111795731,4.077745386355446
2.0,0.0728,9.80665,0.2702290228238646,4.070621240106325
2.0,0.0729,9.80665,0.27069904583317234,4.063553296297591
2.0,0.07300000000000001,9.80665,0.2711669846036184,4.056541033592044
2.0,0.07310000000000001,9.80665,0.27163284350527056,4.04958393766053
2.0,0.0732,9.80665,0.2720966268824426,4.042681501065601
2.0,0.0733,9.80665,0.272558339053989,4.035833223147538
2.0,0.0734,9.80665,0.2730179843135922,4.02903860991269
2.0,0.07350000000000001,9.80665,0.2734755669300469,4.0222971739240325
2.0,0.0736,9.80665,0.2739310911475354,4.015608434193969
2.0,0.0737,9.80665,0.2743845611858996,4.00897191607925
2.0,0.0738,9.80665,0.27483598124090675,4.00238715117799
2.0,0.07390000000000001,9.80665,0.27528535548451005,3.9958536772287387
2.0,0.07400000000000001,9.80665,0.275732688065104,3.9893710380115546
2.0,0.0741,9.80665,0.2761779831077743,3.9829387832510226
2.0,0.0742,9.80665,0.2766212447145439,3.976556468521181
2.0,0.0743,9.80665,0.27706247696461256,3.970223655152322
2.0,0.07440000000000001,9.80665,0.2775016839145929,3.9639399101396036
2.0,0.07450000000000001,9.80665,0.277938869598742,3.957704806053435
2.0,0.0746,9.80665,0.2783740380291867,3.951517920951624
2.0,0.0747,9.80665,0.2788071931961469,3.945378838293194
2.0,0.0748,9.80665,0.27923833906815165,3.939287146853897
2.0,0.07490000000000001,9.80665,0.27966747959225435,3.9332424406433044
2.0,0.07500000000000001,9.80665,0.28009461869424046,3.9272443188235346
2.0,0.0751,9.80665,0.28051976027883335,3.9212923856294934
2.0,0.0752,9.80665,0.2809429082298957,3.915386250290645
2.0,0.0753,9.80665,0.28136406641062545,3.9095255269542823
2.0,0.07540000000000001,9.80665,0.28178323866375127,3.903709834610204
2.0,0.07550000000000001,9.80665,0.2822004288117201,3.8979387970168666
2.0,0.0756,9.80665,0.28261564065688444,3.8922120426288744
2.0,0.0757,9.80665,0.2830288779816848,3.886529204525846
2.0,0.0758,9.80665,0.2834401445488275,3.880889920342621
2.0,0.07590000000000001,9.80665,0.2838494441014612,3.875293832200736
2.0,0.07600000000000001,9.80665,0.2842567803633486,3.8697405866411883
2.0,0.0761,9.80665,0.2846621570390352,3.864229834558442
2.0,0.0762,9.80665,0.28506557781401476,3.85876123113564
2.0,0.0763,9.80665,0.2854670463548925,3.853334435781006
2.0,0.07640000000000001,9.80665,0.28586656630954266,3.847949112065437
2.0,0.07650000000000001,9.80665,0.2862641413072664,3.8426049276611867
2.0,0.0766,9.80665,0.28665977495894507,3.8373015542816926
2.0,0.0767,9.80665,0.28705347085718946,3.8320386676225056
2.0,0.07680000000000001,9.80665,0.28744523257648796,3.826815947303265
2.0,0.07690000000000001,9.80665,0.2878350636733518,3.8216330768107167
2.0,0.077,9.80665,0.2882229676864563,3.8164897434427796
2.0,0.0771,9.80665,0.28860894813678084,3.8113856382535842
2.0,0.0772,9.80665,0.28899300852774507,3.806320455999521
2.0,0.07730000000000001,9.80665,0.28937515234534356,3.8012938950862227
2.0,0.07740000000000001,9.80665,0.2897553830582771,3.7963056575165077
2.0,0.0775,9.80665,0.29013370411808187,3.791355448839235
2.0,0.0776,9.80665,0.29051011895925644,3.786442978099063
2.0,0.0777,9.80665,0.2908846309993863,3.781567957787089
2.0,0.07780000000000001,9.80665,0.2912572436392654,3.776730103792362
2.0,0.07790000000000001,9.80665,0.2916279602630163,3.7719291353542412
2.0,0.078,9.80665,0.29199678423820774,3.7671647750155777
2.0,0.0781,9.80665,0.2923637189159699,3.7624367485767207
2.0,0.0782,9.80665,0.2927287676311081,3.7577447850503085
2.0,0.07830000000000001,9.80665,0.2930919337022131,3.7530886166168624
2.0,0.0784,9.80665,0.29345322043177086,3.7484679785811204
2.0,0.0785,9.80665,0.29381263110626943,3.74388260932914
2.0,0.0786,9.80665,0.29417016899630427,3.739332250286125
2.0,0.0787,9.80665,0.294525837356681,3.734816645874983
2.0,0.07880000000000001,9.80665,0.2948796394265166,3.7303355434755874
2.0,0.0789,9.80665,0.29523157842933945,3.72588869338472
