l0_mm,group_a,entity_a,group_b,entity_b,adjacent,bbox_lower_bound_mm,distance_mm,common_volume_mm3,reference_common_volume_mm3,excess_common_volume_mm3
47.0,fixed,4010电机,left_proximal_negative,大腿,True,0.0,1.1368683772161603e-13,0.0,0.0,0.0
47.0,fixed,4010电机001,left_proximal_positive,大腿垫高,True,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
47.0,fixed,4010电机,left_distal_positive,小腿004,False,0.0,17.635257641282845,0.0,0.0,0.0
47.0,fixed,4010电机001,left_distal_positive,小腿003,False,1.092248931691259,16.85000000067081,0.0,0.0,0.0
47.0,fixed,4010电机001,left_distal_positive,小腿004,False,0.0,0.0,0.0,0.0,0.0
47.0,fixed,4010电机003,right_proximal_negative,大腿垫高001,True,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0
47.0,fixed,4010电机002,right_proximal_positive,大腿002,True,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
47.0,fixed,4010电机002,right_distal_negative,小腿010,False,0.0,17.63525764164326,0.0,0.0,0.0
47.0,fixed,4010电机003,right_distal_negative,小腿009,False,1.092248931630408,16.850000000472342,0.0,0.0,0.0
47.0,fixed,4010电机003,right_distal_negative,小腿010,False,0.0,0.0,0.0,0.0,0.0
47.0,left_proximal_negative,大腿,left_distal_negative,推力轴承,True,0.0,1.2789769243681803e-13,0.0,0.0,0.0
47.0,left_proximal_negative,大腿,left_distal_negative,小腿001,True,1.0000000000001137,1.000000000000142,0.0,0.0,0.0
47.0,left_proximal_negative,大腿,left_distal_negative,cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C,True,0.0,0.09999999951556801,0.0,0.0,0.0
47.0,left_proximal_negative,大腿,left_distal_negative,"hex nuts, style 1-grades ab gb_GB_FASTENER_NUT_SNAB1 M4-C",True,0.0,1.1368683772161603e-13,0.0,0.0,0.0
47.0,left_proximal_negative,大腿,left_distal_positive,小腿004,False,0.0,24.758407437419173,0.0,0.0,0.0
